uid,appid,title,created_time,published_time,updated_time,type,license_name,access,appinspect_passed,path,install_method_distributed,install_method_single,download_count,install_count,archive_status,is_archived,fedramp_validation,app_version,app_filename,app_splunk_versions,app_cim_versions
5226,DomainTools-App-for-Splunk,DomainTools App For Splunk and Splunk ES,2022-05-26T19:08:57+00:00,2022-05-26T19:08:57+00:00,2022-06-10T19:30:24+00:00,app,End User License Agreement for Third-Party Content,unrestricted,True,https://splunkbase.splunk.com/app/5226/,assisted,simple,1320.0,0.0,live,False,no,4.3.0,domaintools-app-for-splunk-and-splunk-es_430.tgz,8.2|8.1,5.x|4.x
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
6449,sideview_ui,Sideview UI,2022-06-10T17:09:08+00:00,2022-06-10T17:09:08+00:00,2022-06-10T17:41:07+00:00,app,partner,unrestricted,True,https://splunkbase.splunk.com/app/6449/,unknown,unknown,7.0,0.0,live,False,no,0.5,sideview-ui_05.tgz,8.2|8.1|8.0,unknown
5482,splunk_maxmind_db_auto_update,Auto Update MaxMind Database,2022-06-10T13:51:08+00:00,2022-06-10T13:51:08+00:00,2022-06-10T14:41:05+00:00,app,End User License Agreement for Third-Party Content,unrestricted,True,https://splunkbase.splunk.com/app/5482/,unknown,unknown,908.0,0.0,live,False,no,1.1.0,auto-update-maxmind-database_110.tgz,8.2|8.1|8.0,unknown
5482,splunk_maxmind_db_auto_update,Auto Update MaxMind Database,2022-06-10T13:51:08+00:00,2022-06-10T13:51:08+00:00,2022-06-10T14:41:05+00:00,app,End User License Agreement for Third-Party Content,unrestricted,True,https://splunkbase.splunk.com/app/5482/,unknown,unknown,908.0,0.0,live,False,no,1.1.0,auto-update-maxmind-database_110.tgz,8.2|8.1|8.0,unknown
